Rank,Name,Date_of_birth,height,Role,Awards,Famous_for,Birth_place
1,Carla Gugino,"August 29, 1971",5′ 5″ (1.65 m),"['Actress', 'Producer', 'Soundtrack']",3 wins & 15 nominations,Watchmen (2009),"Sarasota, Florida, USA"
2,Lily Gladstone,"August 2, 1986",,"['Actress', 'Casting Department', 'Writer']",8 wins & 21 nominations,Certain Women (2016),"Browning, Montana"
3,Shira Haas,"May 11, 1995",,"['Actress', 'Soundtrack']",7 wins & 15 nominations total,Shtisel (2013–2021),"Tel Aviv, Israel"
4,Kate Siegel,"August 9, 1982",5′ 8″ (1.73 m),"['Actress', 'Writer', 'Make-Up Department']",8 nominations,Hush (2016),"Silver Spring, Maryland, USA"
5,Willa Fitzgerald,"January 17, 1991",5′ 5″ (1.65 m),"['Actress', 'Soundtrack']",3 nominations,Scream: The TV Series (2015–2016),"Nashville, Tennessee, USA"
6,Martin Scorsese,"November 17, 1942",5′ 3″ (1.60 m),"['Producer', 'Director', 'Actor']",173 wins & 282 nominations total,Taxi Driver (1976),"Queens, New York City, New York, USA"
7,Jennifer Lawrence,"August 15, 1990",5′ 9″ (1.75 m),"['Actress', 'Producer', 'Writer']",120 wins & 192 nominations total,The Hunger Games (2012),"Louisville, Kentucky, USA"
8,Ruth Codd,"June 13, 1996",5′ 7″ (1.70 m),"['Actress', 'Make-Up Department']",,The Fall of the House of Usher (2023– ),"Wexford, County Wexford, Ireland"
9,Mary McDonnell,"April 28, 1952",5′ 8″ (1.73 m),"['Actress', 'Soundtrack']",4 wins & 15 nominations total,Battlestar Galactica (2004–2009),"Wilkes-Barre, Pennsylvania, USA"
10,Rachael Harris,"January 12, 1968",5′ 1″ (1.55 m),"['Actress', 'Camera and Electrical Department', 'Producer']",2 wins & 2 nominations,The Hangover (2009),"Worthington, Ohio, USA"
11,Mike Flanagan,"May 20, 1978",6′ (1.83 m),"['Director', 'Writer', 'Editor']",36 wins & 33 nominations,Midnight Mass (2021– ),"Salem, Massachusetts, USA"
